Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
8.867,7.7023,6.1485,0,12.805,-1.0101,1.9333,-4.0325,0.9901,-8.1481,8.0131,-5.7236,3.0151,-6.9967,-0.89314,4.9918,0
10.837,8.6731,5.1123,1.0152,17.756001,0,8.9333,-3.0569,0,-5.1178,8.0131,-8.6504,2.0101,-7.9868,-0.89314,-2.89,0
7.8818,8.6731,6.1485,3.0457,16.766001,1.0101,8.9333,-5.9837,-2.9703,-6.1279,4.0722,-16.455,-3.0151,-12.937,5.8054,-17.667999,0
13.793,12.557,8.2211,6.0914,17.756001,2.0202,6.9333,-9.8862,0,-4.1077,-4.7947,-22.309,-9.0452,-15.908,6.7624,-30.476,0
11.823,11.586,6.1485,4.0609,10.825,-4.0404,-6.0667,-14.764,-2.9703,-8.1481,-20.558001,-29.138,-20.101,-22.837999,6.7624,-44.269001,0
13.793,13.528,5.1123,6.0914,10.825,-1.0101,-6.0667,-5.9837,-1.9802,-3.0976,-23.514,-19.382,-20.101,-17.888,10.59,-39.342999,0
13.793,15.469,9.2573,10.152,14.785,5.0505,-1.0667,3.7724,2.9703,3.9731,-20.558001,-8.6504,-16.08,-8.9769,-0.89314,-26.535,0
16.749001,16.440001,10.294,12.183,18.746,11.111,3.9333,6.6992,2.9703,7.0034,-18.587999,-3.7724,-14.07,-5.0165,-13.333,-15.698,0
12.808,13.528,8.2211,9.1371,20.726,9.0909,5.9333,6.6992,1.9802,5.9933,-9.7209,1.1057,-8.0402,-1.0561,-13.333,0.06568,0
5.9113,5.7605,-1.1054,-2.0305,11.815,-1.0101,-1.0667,1.8211,-0.9901,-0.06734,-0.85386,3.0569,-3.0151,-1.0561,-1.8501,11.888,0
4.9261,2.8479,-3.1779,-6.0914,14.785,-7.0707,3.9333,0.84553,0,-3.0976,8.0131,5.9837,2.0101,-0.06601,4.8485,18.785,0
1.9704,0.90615,-2.1416,-9.1371,15.776,-6.0606,7.9333,-2.0813,0,-5.1178,11.954,1.1057,4.0201,-2.0462,-0.89314,12.874,0
3.9409,1.877,-4.2142,-8.1218,12.805,-6.0606,6.9333,-9.8862,-2.9703,-7.138,2.1018,-13.528,-4.0201,-10.957,-2.807,-7.8161,0
4.9261,2.8479,-1.1054,-3.0457,15.776,-4.0404,6.9333,-9.8862,-1.9802,-3.0976,-4.7947,-22.309,-9.0452,-13.927,-2.807,-22.594,0
